,date,away_team,away_runs,away_hits,away_errors,home_team,home_runs,home_hits,home_errors
0,2019-03-20,Mariners,9,7,1,Athletics,7,9,0
1,2019-03-20,Pirates,6,10,0,Twins,5,11,0
2,2019-03-20,Tigers,3,4,1,Phillies,1,6,0
3,2019-03-20,Marlins,6,11,0,Cardinals,0,3,1
4,2019-03-20,Yankees,1,4,2,Astros,2,6,0
5,2019-03-20,Braves,8,9,3,Blue Jays,7,6,0
6,2019-03-20,Reds,6,11,1,Rangers,1,6,1
7,2019-03-20,D-backs,11,16,0,White Sox,2,5,0
8,2019-03-20,Brewers,10,13,0,Padres,7,10,1
9,2019-03-20,Red Sox,6,8,0,Orioles,4,10,1
10,2019-03-20,Angels,2,8,0,Indians,4,8,0
11,2019-03-20,Royals,8,8,0,Rockies,7,12,0
12,2019-03-20,Dodgers,4,10,3,Cubs,4,7,2
13,2019-03-20,Indians,0,4,0,Giants,13,16,0
14,2019-03-21,Mariners,5,9,1,Athletics,4,10,0
15,2019-03-21,Astros,3,7,1,Tigers,5,6,0
16,2019-03-21,Orioles,5,7,0,Pirates,7,7,0
17,2019-03-21,Blue Jays,6,9,0,Phillies,13,12,0
18,2019-03-21,Braves,1,10,1,Rays,8,9,0
19,2019-03-21,Yankees,3,6,1,Cardinals,11,14,0
20,2019-03-21,Marlins,0,6,0,Mets,6,9,1
21,2019-03-21,Royals,14,16,2,Reds,6,10,2
22,2019-03-21,Giants,5,10,1,Cubs,5,10,0
23,2019-03-21,Indians,3,10,1,Rangers,7,14,0
24,2019-03-21,Rangers,2,7,1,White Sox,12,12,1
25,2019-03-21,Dodgers,5,9,1,Brewers,11,11,1
26,2019-03-21,Angels,2,5,0,D-backs,1,6,0
27,2019-03-21,Rays,0,4,2,Red Sox,8,10,0
28,2019-03-21,Cardinals,1,8,1,Nationals,7,6,1
29,2019-03-21,Reds,3,5,3,Mariners,6,9,0
30,2019-03-22,Pirates,2,8,1,Rays,3,9,1
31,2019-03-22,Cardinals,15,21,0,Mets,5,14,3
32,2019-03-22,D-backs,10,12,0,Dodgers,4,9,0
33,2019-03-22,Rangers,3,7,2,Cubs,7,8,0
34,2019-03-22,Reds,4,6,0,Brewers,6,9,1
35,2019-03-22,White Sox,4,7,1,Angels,5,8,0
36,2019-03-22,Mets,3,9,0,Astros,7,12,1
37,2019-03-22,Red Sox,10,18,1,Twins,6,12,3
38,2019-03-22,Tigers,3,11,1,Braves,4,7,1
39,2019-03-22,Orioles,0,4,0,Blue Jays,4,9,0
40,2019-03-22,Phillies,3,7,0,Yankees,6,6,0
41,2019-03-22,Nationals,5,6,1,Marlins,5,13,1
42,2019-03-22,Cubs,3,6,3,Indians,8,12,1
43,2019-03-22,Giants,3,6,2,Royals,15,21,1
44,2019-03-22,Padres,5,10,0,Rockies,6,8,0
45,2019-03-22,Angels,7,11,1,Mariners,8,9,1
46,2019-03-22,Rockies,4,10,3,Giants,6,8,0
47,2019-03-23,Pirates,3,9,1,Red Sox,12,15,0
48,2019-03-23,Cardinals,4,9,0,Nationals,4,9,1
49,2019-03-23,Rays,7,11,1,Tigers,8,14,0
50,2019-03-23,Phillies,3,8,0,Pirates,5,7,0
51,2019-03-23,Mets,12,15,0,Braves,2,5,2
52,2019-03-23,Blue Jays,7,9,0,Yankees,3,8,2
53,2019-03-23,Canada Jr. Team,3,7,3,Blue Jays,8,7,0
54,2019-03-23,White Sox,5,11,0,Dodgers,1,3,1
55,2019-03-23,Brewers,7,11,0,Rangers,3,8,1
56,2019-03-23,Reds,5,8,2,Indians,8,11,0
57,2019-03-23,D-backs,2,9,0,Giants,3,8,1
58,2019-03-23,Royals,6,8,0,Brewers,4,7,0
59,2019-03-23,Angels,4,9,1,Padres,11,11,0
60,2019-03-23,Twins,8,10,1,Orioles,7,9,0
61,2019-03-23,Astros,5,10,0,Marlins,0,3,0
62,2019-03-23,Cubs,6,9,0,Rockies,11,17,3
